"NAME","DESCRIPTION","ID","SEARCH_HEURISTIC"
"Instantiate Using Reflection","1 - Get class object (reflection or passed in somehow) 2 - Use reflection to find the constructor. 3 - Use the constructor to instantiate the object.","35","getConstructor AND newInstance"
"Connect to Database","Create a database connection.","36","getConnection AND jdbc"
"Load File into Byte Array","The entire file is loaded into a single byte array.","37","FileInputStream AND toByteArray"
"Get MAC Address String","1 - Get the MAC address (of a network device, of a ip address, of local host, etc). 2 - Convert byte MAC address into standard format: (e.g., 1-23-45-67-89-ab or 01:23:45:67:89:ab)","38","getHardwareAddress AND ((format)|(toHexString))"
"Delete Folder and Contents","Delete a folder, and all the files and folders it contains, recursively down the file heirarchy.","39","delete AND ((listFiles AND isDirectory) OR (SimpleFileVisitor AND postVistDirectory))"
"Parse CSV File","Parse the elements of a CSV-like file.  Where each line is an entry, and the elements of an entry are separated by some delimiter on that line (CSV, tab delimited, etc).","40","(nextLine OR readLine) AND ((hasMoreTokens AND nextToken) OR (useDelimiter AND next)"
"Transpose a Matrix.","Transpose a Matrix (2d array)","41","array1[i][j] = array2[j][i]  // allowing any identifier names and whitespace, but i and j instances must match"
"Extract Matches Using Regex","Use a regular expression to extract matches of a pattern in text.","42","while\s*\(\s*[a-z,A-Z,0-9,_,$]+\s*\.\s*find\s*\( AND [a-z,A-Z,0-9,_,$]+\s*\.\s*start\s*\( AND [a-z,A-Z,0-9,_,$]+\s*\.\s*end\s*\( AND [a-z,A-Z,0-9,_,$]+\s*\.\s*compile\s*\( AND [a-z,A-Z,0-9,_,$]+\s*\.\s*matcher\s*\("
"Copy Directory","Copy directory and its contents.","43","(copy AND isDirectory AND list) OR (preVisitDirectory AND visitFile AND walkFileTree AND copy)"
"Test Palindrome","Test if a string is a palindrome.","44","palindrome"
"Write PDF File","Writes a PDF file.","45","pdf AND open AND add AND write"
